[2022/02/09 05:27:21] - Namespace(alpha=8.0, batch_size=128, data_dir='../../cifar-data', delta_init='random', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/random_init_alpha8', seed=0, test_interval=10, weight_decay=0.0005)
[2022/02/09 05:27:22] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 05:28:08] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:28:08] - 0 	 1.7051 	 	 0.3576 	 1.7812 	 0.2502
[2022/02/09 05:28:08] - 0 	 45.6 	 	 0.0133 	 2.1691 	 0.1778
[2022/02/09 05:28:36] - 1 	 28.5 	 	 0.0267 	 1.8948 	 0.2817
[2022/02/09 05:29:05] - 2 	 28.8 	 	 0.0400 	 1.7917 	 0.3189
[2022/02/09 05:29:34] - 3 	 28.7 	 	 0.0533 	 1.7039 	 0.3507
[2022/02/09 05:30:03] - 4 	 28.9 	 	 0.0667 	 1.6202 	 0.3848
[2022/02/09 05:30:31] - 5 	 28.0 	 	 0.0800 	 1.5538 	 0.4051
[2022/02/09 05:30:59] - 6 	 28.6 	 	 0.0933 	 1.4969 	 0.4319
[2022/02/09 05:31:28] - 7 	 29.0 	 	 0.1067 	 1.4564 	 0.4463
[2022/02/09 05:31:57] - 8 	 28.8 	 	 0.1200 	 1.4172 	 0.4596
[2022/02/09 05:32:26] - 9 	 28.3 	 	 0.1333 	 1.3903 	 0.4711
[2022/02/09 05:33:09] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:33:09] - 10 	 0.9304 	 	 0.7027 	 1.1844 	 0.4245
[2022/02/09 05:33:09] - 10 	 43.8 	 	 0.1467 	 1.3649 	 0.4778
[2022/02/09 05:33:38] - 11 	 29.0 	 	 0.1600 	 1.3463 	 0.4840
[2022/02/09 05:34:07] - 12 	 28.3 	 	 0.1733 	 1.3313 	 0.4875
[2022/02/09 05:34:35] - 13 	 28.4 	 	 0.1867 	 1.3253 	 0.4958
[2022/02/09 05:35:02] - 14 	 27.4 	 	 0.2000 	 1.3183 	 0.4989
[2022/02/09 05:35:31] - 15 	 28.1 	 	 0.1867 	 1.3052 	 0.5033
[2022/02/09 05:35:59] - 16 	 28.7 	 	 0.1733 	 1.2881 	 0.5073
[2022/02/09 05:36:27] - 17 	 28.2 	 	 0.1600 	 1.2700 	 0.5136
[2022/02/09 05:36:56] - 18 	 28.8 	 	 0.1467 	 1.2520 	 0.5197
[2022/02/09 05:37:25] - 19 	 28.6 	 	 0.1333 	 1.2333 	 0.5276
[2022/02/09 05:38:08] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:38:08] - 20 	 0.7896 	 	 0.7313 	 1.0826 	 0.4340
[2022/02/09 05:38:08] - 20 	 43.2 	 	 0.1200 	 1.2142 	 0.5321
[2022/02/09 05:38:37] - 21 	 28.8 	 	 0.1067 	 1.1891 	 0.5427
[2022/02/09 05:39:05] - 22 	 28.3 	 	 0.0933 	 1.1678 	 0.5504
[2022/02/09 05:39:34] - 23 	 28.8 	 	 0.0800 	 1.1422 	 0.5588
[2022/02/09 05:40:03] - 24 	 28.7 	 	 0.0667 	 1.1117 	 0.5687
[2022/02/09 05:40:31] - 25 	 28.5 	 	 0.0533 	 1.0770 	 0.5842
[2022/02/09 05:40:58] - 26 	 26.3 	 	 0.0400 	 1.0317 	 0.5992
[2022/02/09 05:41:26] - 27 	 28.8 	 	 0.0267 	 0.9737 	 0.6190
[2022/02/09 05:41:55] - 28 	 28.8 	 	 0.0133 	 0.9020 	 0.6457
[2022/02/09 05:42:24] - 29 	 28.4 	 	 0.0000 	 0.8005 	 0.6817
[2022/02/09 05:42:24] - Total train time: 15.0209 minutes
[2022/02/09 06:12:03] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 06:12:03] - 0.4831 	 	 0.8532 	 0.9284 	 0.4376
