[2022/02/09 05:02:03] - Namespace(alpha=8.0, batch_size=128, data_dir='../../cifar-data', delta_init='zero', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/zero_init_plot', seed=0, test_interval=1, weight_decay=0.0005)
[2022/02/09 05:02:04] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 05:16:21] - 19 	 43.5 	 	 0.1333 	 0.4909 	 0.8367
[2022/02/09 05:17:05] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:17:05] - 20 	 1.0545 	 	 0.7156 	 4.1855 	 0.1788
[2022/02/09 05:17:05] - 20 	 43.6 	 	 0.1200 	 0.2839 	 0.9105
[2022/02/09 05:17:48] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:17:48] - 21 	 0.9401 	 	 0.7200 	 4.0500 	 0.1406
[2022/02/09 05:17:48] - 21 	 43.2 	 	 0.1067 	 0.2732 	 0.9143
[2022/02/09 05:18:31] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:18:31] - 22 	 0.9639 	 	 0.7264 	 4.9847 	 0.1579
[2022/02/09 05:18:31] - 22 	 43.3 	 	 0.0933 	 0.2525 	 0.9199
[2022/02/09 05:19:13] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:19:13] - 23 	 0.9535 	 	 0.7059 	 4.1671 	 0.1535
[2022/02/09 05:19:13] - 23 	 42.0 	 	 0.0800 	 0.2463 	 0.9207
[2022/02/09 05:19:56] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:19:56] - 24 	 0.8990 	 	 0.7339 	 4.8777 	 0.1555
[2022/02/09 05:19:56] - 24 	 43.2 	 	 0.0667 	 0.2180 	 0.9302
[2022/02/09 05:20:40] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:20:40] - 25 	 0.8031 	 	 0.7678 	 4.7631 	 0.2305
[2022/02/09 05:20:40] - 25 	 43.3 	 	 0.0533 	 0.2021 	 0.9345
[2022/02/09 05:21:23] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:21:23] - 26 	 0.7358 	 	 0.7876 	 4.2770 	 0.2442
[2022/02/09 05:21:23] - 26 	 43.0 	 	 0.0400 	 0.1769 	 0.9432
[2022/02/09 05:22:05] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:22:05] - 27 	 0.6803 	 	 0.7981 	 4.2610 	 0.2405
[2022/02/09 05:22:05] - 27 	 42.5 	 	 0.0267 	 0.1603 	 0.9486
[2022/02/09 05:22:49] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:22:49] - 28 	 0.6346 	 	 0.8196 	 3.9833 	 0.3085
[2022/02/09 05:22:49] - 28 	 43.6 	 	 0.0133 	 0.1168 	 0.9632
[2022/02/09 05:23:33] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:23:33] - 29 	 0.5379 	 	 0.8429 	 3.8429 	 0.3525
[2022/02/09 05:23:33] - 29 	 44.0 	 	 0.0000 	 0.0859 	 0.9727
[2022/02/09 05:23:33] - Total train time: 21.4697 minutes
[2022/02/09 05:27:13] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:27:13] - 0.5379 	 	 0.8432 	 7.6222 	 0.0000
